url,price,currency,retailer_sku,datepulled,sku1,sku2,sku3,sku4
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Dual-Temperature-Glue-Gun-Kit-w-2-0-Ah-Battery-18V-Lithium-Ion-Charger-and-24-Full-Size-Glue-Sticks-P307K1N-A1932402/321367838,107.28,USD,,10/28/2025,A1932402,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Dual-Port-Simultaneous-Charger-PCG005/320222340,79,USD,,10/28/2025,PCG005,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-9-in-Cordless-Battery-Edger-Tool-Only-P2300BTL/206481859,99,USD,,10/28/2025,P2300BTL,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-9-in-Cordless-Battery-Edger-with-2-0-Ah-Battery-and-Charger-P2310/206339957,129,USD,,10/28/2025,P2310,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Fast-Charger-PCG004/319310886,49.97,USD,,10/28/2025,PCG004,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Battery-Garden-Hoe-with-2-0-Ah-Battery-and-Charger-P29130/324508287,199,USD,,10/28/2025,P29130,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Glue-Gun-Kit-with-2-0-Ah-Battery-and-Charger-PCL921K1/326278316,89.93,USD,,10/28/2025,PCL921K1,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Multi-Surface-Handheld-Vacuum-Tool-Only-PCL705B/319127159,39.97,USD,,10/28/2025,PCL705B,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Multi-Surface-Handheld-Vacuum-Kit-with-2-0-Ah-Battery-and-Charger-PCL705K/319127257,84.97,USD,,10/28/2025,PCL705K,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Heat-Gun-Tool-Only-P3150/306925921,79,USD,,10/28/2025,P3150,,,
https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-Heat-Pen-Kit-with-2-0-Ah-Battery-and-Charger-PCL916K1/325310816,99.97,USD,,10/28/2025,PCL916K1,,,
